year,temperature,precipitation,elevation,slope,nightlight,population_density,road_density,mining_density,forest_area_percent,cropland_area_percent,impervious_area_percent,VHI,h3_index,latitude,longitude
2019,18.695206099272003,1822.9329196522367,469.0210401377434,20.21758329401717,11.10688946521874,1616.9873154673155,0.213016161490525,0.0,91.63571428571429,2.96530612244898,5.398979591836735,0.6405230884324223,8541a897fffffff,25.17196609686994,115.4267099523514
2020,18.863683065552102,1430.3282026892148,469.0210401377434,20.21758329401717,11.911683943411893,1639.9020315355729,0.213016161490525,0.0,91.71551020408164,3.0181632653061223,5.266530612244898,0.6356420734818574,8541a897fffffff,25.17196609686994,115.4267099523514
2021,18.863683065552102,1430.3282026892148,469.0210401377434,20.21758329401717,12.14991762228013,1656.3010518509286,0.213016161490525,0.0,91.71551020408164,3.0181632653061223,5.266530612244898,0.6540500133051007,8541a897fffffff,25.17196609686994,115.4267099523514
2022,18.863683065552102,1430.3282026892148,469.0210401377434,20.21758329401717,12.388151301148369,1672.7000721662844,0.213016161490525,0.0,91.71551020408164,3.0181632653061223,5.266530612244898,0.6676474077734559,8541a897fffffff,25.17196609686994,115.4267099523514
2023,18.863683065552102,1430.3282026892148,469.0210401377434,20.21758329401717,12.626384980016606,1689.0990924816401,0.213016161490525,0.0,91.71551020408164,3.0181632653061223,5.266530612244898,0.6744119776273553,8541a897fffffff,25.17196609686994,115.4267099523514
2024,18.863683065552102,1430.3282026892148,469.0210401377434,20.21758329401717,12.864618658884845,1705.4981127969959,0.213016161490525,0.0,91.71551020408164,3.0181632653061223,5.266530612244898,0.6745091695255143,8541a897fffffff,25.17196609686994,115.4267099523514
2000,18.360564741091338,1710.7089859565972,456.4989887349804,21.22930995918905,3.072589344548365,431.068605172144,0.028104122555832,0.0,93.29102040816326,6.514693877551021,0.0971428571428571,0.6451599765905284,8541a89bfffffff,25.32596251859976,115.63627372396144
2001,18.606846980758604,1719.3386648141156,456.4989887349804,21.22930995918905,2.965991485933404,434.7670373871237,0.028104122555832,0.0,93.29102040816326,6.514693877551021,0.0971428571428571,0.6606847927072403,8541a89bfffffff,25.32596251859976,115.63627372396144
2002,18.87231107765616,1556.5038295373784,456.4989887349804,21.22930995918905,2.7578724541941755,408.9814719850175,0.028104122555832,0.0,93.0969387755102,6.611428571428571,0.1944897959183673,0.6418009256490156,8541a89bfffffff,25.32596251859976,115.63627372396144
2003,19.151933103017413,1126.7223268678244,456.4989887349804,21.22930995918905,2.1118054932365413,400.02427756084097,0.028104122555832,0.0,92.98959183673468,6.622857142857143,0.2904081632653061,0.6190689428035329,8541a89bfffffff,25.32596251859976,115.63627372396144
2004,18.946578619129024,1193.3852998768275,456.4989887349804,21.22930995918905,2.2934993596260207,426.7465136059359,0.028104122555832,0.0,93.3769387755102,6.33265306122449,0.193265306122449,0.6486558164097695,8541a89bfffffff,25.32596251859976,115.63627372396144
2005,18.68771971336232,1458.3614887425294,456.4989887349804,21.22930995918905,2.070126997581354,445.6718402936833,0.028104122555832,0.0,93.37755102040816,6.234897959183673,0.2906122448979591,0.6285945071024361,8541a89bfffffff,25.32596251859976,115.63627372396144
2006,18.965641544016894,1811.2961641177303,456.4989887349804,21.22930995918905,2.357760086750281,438.365270875008,0.028104122555832,0.0,93.08632653061224,6.623265306122449,0.193265306122449,0.6535032210621874,8541a89bfffffff,25.32596251859976,115.63627372396144
2007,19.082142095294625,1349.4079512374071,456.4989887349804,21.22930995918905,2.5978932723021173,446.6391352088404,0.028104122555832,0.0,93.3904081632653,6.222653061224491,0.3871428571428571,0.6540482661747993,8541a89bfffffff,25.32596251859976,115.63627372396144
2008,18.41818383119893,1521.098323340141,456.4989887349804,21.22930995918905,4.174020172065587,419.88425696517777,0.028104122555832,0.0,93.09918367346938,6.377142857142857,0.5240816326530612,0.6141180269668428,8541a89bfffffff,25.32596251859976,115.63627372396144
2009,19.39937471339232,1091.927295253652,456.4989887349804,21.22930995918905,2.7849810734144764,400.9300183679215,0.028104122555832,0.0,93.00204081632654,6.307755102040816,0.6902040816326531,0.6481665983489114,8541a89bfffffff,25.32596251859976,115.63627372396144
2010,18.84433126046229,1611.0467691878418,456.4989887349804,21.22930995918905,4.106128621119129,364.3396022691971,0.028104122555832,0.0,93.08510204081632,6.185102040816328,0.7299999999999999,0.6383606192297955,8541a89bfffffff,25.32596251859976,115.63627372396144
2011,18.33262448600585,1288.424558120701,456.4989887349804,21.22930995918905,3.4577422932901123,367.850556765308,0.028104122555832,0.0,92.98816326530611,6.28204081632653,0.7299999999999999,0.6837236119378035,8541a89bfffffff,25.32596251859976,115.63627372396144
2012,18.532025564277777,1704.1769430684733,456.4989887349804,21.22930995918905,4.150443487529169,337.8607106133997,0.028104122555832,0.0,92.80755102040816,6.46265306122449,0.7299999999999999,0.743108122745583,8541a89bfffffff,25.32596251859976,115.63627372396144
2013,18.83571929464033,1321.3654255566698,456.4989887349804,21.22930995918905,4.397274885377115,336.1701696082943,0.028104122555832,0.0,92.80755102040816,6.36530612244898,0.8273469387755101,0.7676358266449255,8541a89bfffffff,25.32596251859976,115.63627372396144
2014,19.43895533806629,1180.8809785106814,456.4989887349804,21.22930995918905,4.154585999719629,369.7393947791912,0.028104122555832,0.0,92.78408163265306,6.272040816326531,0.943673469387755,0.7779066728303746,8541a89bfffffff,25.32596251859976,115.63627372396144
2015,19.08453966862117,1578.0696042143077,456.4989887349804,21.22930995918905,3.807505223357928,373.2896800391952,0.028104122555832,0.0,92.90428571428572,6.258571428571429,0.836938775510204,0.7301948013816693,8541a89bfffffff,25.32596251859976,115.63627372396144
2016,18.990633630430573,2185.561772946176,456.4989887349804,21.22930995918905,2.887712698198103,361.880470259936,0.028104122555832,0.0,92.88122448979593,6.067755102040818,1.0510204081632653,0.6954099951840894,8541a89bfffffff,25.32596251859976,115.63627372396144
2017,19.319354721877577,1232.3371320149938,456.4989887349804,21.22930995918905,7.437608805356471,368.56569940196766,0.028104122555832,0.0,92.80755102040816,6.295714285714286,0.896734693877551,0.7838355280296841,8541a89bfffffff,25.32596251859976,115.63627372396144
2018,19.05833297688449,1195.680255770489,456.4989887349804,21.22930995918905,7.415354325376077,374.4476157287256,0.028104122555832,0.0,92.99979591836734,6.452448979591836,0.5479591836734694,0.7494945357166627,8541a89bfffffff,25.32596251859976,115.63627372396144
2019,19.45649129847304,1570.9166566248102,456.4989887349804,21.22930995918905,6.854121566144295,377.3434567664584,0.028104122555832,0.0,92.90448979591837,6.433061224489797,0.6624489795918368,0.7465880838033587,8541a89bfffffff,25.32596251859976,115.63627372396144
2020,19.52824870747248,1155.2153185115153,456.4989887349804,21.22930995918905,7.748311578622671,386.896672561262,0.028104122555832,0.0,92.89938775510204,6.302653061224491,0.7979591836734694,0.7529019953264607,8541a89bfffffff,25.32596251859976,115.63627372396144
2021,19.52824870747248,1155.2153185115153,456.4989887349804,21.22930995918905,7.903277810195124,390.7656392868746,0.028104122555832,0.0,92.89938775510204,6.302653061224491,0.7979591836734694,0.7743304030143238,8541a89bfffffff,25.32596251859976,115.63627372396144
2022,19.52824870747248,1155.2153185115153,456.4989887349804,21.22930995918905,8.058244041767578,394.63460601248727,0.028104122555832,0.0,92.89938775510204,6.302653061224491,0.7979591836734694,0.7829848697994966,8541a89bfffffff,25.32596251859976,115.63627372396144
2023,19.52824870747248,1155.2153185115153,456.4989887349804,21.22930995918905,8.213210273340032,398.5035727380999,0.028104122555832,0.0,92.89938775510204,6.302653061224491,0.7979591836734694,0.7934327827037654,8541a89bfffffff,25.32596251859976,115.63627372396144
2024,19.52824870747248,1155.2153185115153,456.4989887349804,21.22930995918905,8.368176504912485,402.3725394637125,0.028104122555832,0.0,92.89938775510204,6.302653061224491,0.7979591836734694,0.8007826423727958,8541a89bfffffff,25.32596251859976,115.63627372396144
2000,18.63076561924047,1625.1767167872329,230.9334956946737,14.272361469634562,3.133306999815574,719.4896238027931,0.0523181467243649,0.0,64.06040816326531,35.70224489795918,0.1410204081632653,0.3383877085626288,8541a8a3fffffff,25.39576133822681,115.05417657320235
2001,18.842726614305136,1659.8956816289738,230.9334956946737,14.272361469634562,3.1771345473047288,693.2517074181956,0.0523181467243649,0.0,63.986326530612246,35.57918367346939,0.3381632653061224,0.3553389999379419,8541a8a3fffffff,25.39576133822681,115.05417657320235
2002,19.13410369584146,1640.1552857518611,230.9334956946737,14.272361469634562,2.9955812074685872,645.5374204986402,0.0523181467243649,0.0,64.02489795918368,35.73326530612245,0.1457142857142857,0.3192966217108013,8541a8a3fffffff,25.39576133822681,115.05417657320235
2003,19.45256307497217,1122.3669371871483,230.9334956946737,14.272361469634562,2.320827765144764,620.4921421723111,0.0523181467243649,0.0,63.9461224489796,35.913061224489795,0.0446938775510204,0.3221003581447041,8541a8a3fffffff,25.39576133822681,115.05417657320235
2004,19.36104311792151,1225.8653236609978,230.9334956946737,14.272361469634562,2.5343980079181825,645.1104575459507,0.0523181467243649,0.0,63.66102040816326,36.10183673469388,0.1408163265306122,0.303284955318339,8541a8a3fffffff,25.39576133822681,115.05417657320235
2005,18.95577698219148,1443.5767580236814,230.9334956946737,14.272361469634562,2.2804603927032923,658.6809563869701,0.0523181467243649,0.0,62.99938775510205,36.667142857142856,0.2371428571428571,0.2787393061769208,8541a8a3fffffff,25.39576133822681,115.05417657320235
2006,19.21430360109928,1668.6184960371058,230.9334956946737,14.272361469634562,2.529793055165338,672.5949802529494,0.0523181467243649,0.0,63.572040816326535,36.09448979591837,0.2371428571428571,0.3301363272773713,8541a8a3fffffff,25.39576133822681,115.05417657320235
2007,19.521694228546348,1293.458891643469,230.9334956946737,14.272361469634562,2.689711349487605,682.5424611411808,0.0523181467243649,0.0,62.80530612244898,36.86122448979592,0.2371428571428571,0.3581901479051808,8541a8a3fffffff,25.39576133822681,115.05417657320235
2008,18.76748312645419,1494.3447939420391,230.9334956946737,14.272361469634562,4.156094389324292,686.2444340242021,0.0523181467243649,0.0,62.67510204081633,36.99163265306122,0.2371428571428571,0.3485147886908923,8541a8a3fffffff,25.39576133822681,115.05417657320235
2009,19.65727793919104,1076.6681999987345,230.9334956946737,14.272361469634562,3.503499455488571,647.6692651185108,0.0523181467243649,0.0,62.86734693877551,36.799183673469386,0.333469387755102,0.3361471489722442,8541a8a3fffffff,25.39576133822681,115.05417657320235
2010,18.99862765339596,1712.7026251371683,230.9334956946737,14.272361469634562,4.360073873384102,723.3191713887055,0.0523181467243649,0.0,63.06408163265306,36.60244897959184,0.333469387755102,0.336942461299554,8541a8a3fffffff,25.39576133822681,115.05417657320235
2011,18.57517549644697,1258.491812344808,230.9334956946737,14.272361469634562,3.9548688795839935,724.2990628462511,0.0523181467243649,0.0,62.81877551020408,36.847755102040814,0.333469387755102,0.3848747694774909,8541a8a3fffffff,25.39576133822681,115.05417657320235
2012,18.65703321365878,1667.3544710560586,230.9334956946737,14.272361469634562,4.418220128853595,766.951419973198,0.0523181467243649,0.0,62.52469387755102,37.04530612244898,0.4297959183673469,0.4568149176987315,8541a8a3fffffff,25.39576133822681,115.05417657320235
2013,19.17159040786467,1248.7024267605432,230.9334956946737,14.272361469634562,4.32857136785457,736.9824129818855,0.0523181467243649,0.0,62.32734693877551,37.242653061224495,0.4297959183673469,0.5128825319395802,8541a8a3fffffff,25.39576133822681,115.05417657320235
2014,19.754121550323653,1212.907582984392,230.9334956946737,14.272361469634562,4.8429864199918375,765.1384737730968,0.0523181467243649,0.0,60.98530612244898,38.48367346938775,0.5308163265306122,0.4731286436840813,8541a8a3fffffff,25.39576133822681,115.05417657320235
2015,19.33258871452951,1546.384296871024,230.9334956946737,14.272361469634562,5.0666291822255785,736.92077778092,0.0523181467243649,0.0,60.83163265306123,38.536530612244896,0.6316326530612245,0.4813065975764966,8541a8a3fffffff,25.39576133822681,115.05417657320235
2016,19.33735285556904,2069.2948256054747,230.9334956946737,14.272361469634562,4.084032803052316,734.8139323495254,0.0523181467243649,0.0,60.44755102040816,39.218979591836735,0.333469387755102,0.4531800013925426,8541a8a3fffffff,25.39576133822681,115.05417657320235
2017,19.50112748967295,1195.0159117076769,230.9334956946737,14.272361469634562,8.436692055616295,742.148129280971,0.0523181467243649,0.0,60.160816326530615,39.26836734693877,0.4389795918367347,0.5234010707881934,8541a8a3fffffff,25.39576133822681,115.05417657320235
2018,19.33133428289574,1291.6677862557028,230.9334956946737,14.272361469634562,8.681921845710475,754.9556698605807,0.0523181467243649,0.0,60.4738775510204,39.05591836734694,0.3381632653061224,0.4656490567266004,8541a8a3fffffff,25.39576133822681,115.05417657320235
2019,19.60776767776621,1489.0540858708248,230.9334956946737,14.272361469634562,8.001051434597063,753.6227883707659,0.0523181467243649,0.0,60.2534693877551,39.18020408163265,0.4344897959183673,0.4947760436156166,8541a8a3fffffff,25.39576133822681,115.05417657320235
2020,20.01304008142575,1188.6969062045707,230.9334956946737,14.272361469634562,9.456519928908584,766.8637299922657,0.0523181467243649,0.0,60.4369387755102,39.04877551020408,0.4355102040816326,0.4985620069456425,8541a8a3fffffff,25.39576133822681,115.05417657320235
2021,20.01304008142575,1188.6969062045707,230.9334956946737,14.272361469634562,9.645650327486756,774.5323672921884,0.0523181467243649,0.0,60.4369387755102,39.04877551020408,0.4355102040816326,0.5114288521687126,8541a8a3fffffff,25.39576133822681,115.05417657320235
2022,20.01304008142575,1188.6969062045707,230.9334956946737,14.272361469634562,9.834780726064928,782.201004592111,0.0523181467243649,0.0,60.4369387755102,39.04877551020408,0.4355102040816326,0.526109465186127,8541a8a3fffffff,25.39576133822681,115.05417657320235
2023,20.01304008142575,1188.6969062045707,230.9334956946737,14.272361469634562,10.0239111246431,789.8696418920337,0.0523181467243649,0.0,60.4369387755102,39.04877551020408,0.4355102040816326,0.5487280493689352,8541a8a3fffffff,25.39576133822681,115.05417657320235
2024,20.01304008142575,1188.6969062045707,230.9334956946737,14.272361469634562,10.213041523221271,797.5382791919563,0.0523181467243649,0.0,60.4369387755102,39.04877551020408,0.4355102040816326,0.5599522621890196,8541a8a3fffffff,25.39576133822681,115.05417657320235
2000,18.831249949702016,1511.7825130082524,179.0528421283184,7.976571431882139,5.155609579527563,2765.930198540896,0.3640459948265843,0.0,18.83183673469388,70.99714285714286,10.17142857142857,0.2562299243293187,8541a8a7fffffff,25.37848979200657,114.89511658428783
